,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,MA100,Previous close,Price Change,% Price Change,Previous volume,Volume Change,% Volume Change
0,2010-06-29,19.0,25.0,17.540000915527344,23.88999938964844,23.88999938964844,18766300,,,,,,,,,
1,2010-06-30,25.790000915527344,30.420000076293945,23.299999237060547,23.82999992370605,23.82999992370605,17187100,,,,23.88999938964844,-0.05999946594238992,-0.25114888018117343,18766300.0,-1579200.0,-8.415084486553026
2,2010-07-01,25.0,25.920000076293945,20.270000457763672,21.959999084472656,21.959999084472656,8218800,,,,23.82999992370605,-1.8700008392333949,-7.847254910702373,17187100.0,-8968300.0,-52.180414380552854
3,2010-07-02,23.0,23.100000381469727,18.709999084472656,19.200000762939453,19.200000762939453,5139800,,,,21.959999084472656,-2.759998321533203,-12.568298891618468,8218800.0,-3079000.0,-37.46288995960481
4,2010-07-06,20.0,20.0,15.829999923706056,16.110000610351562,16.110000610351562,6866900,,,,19.200000762939453,-3.0900001525878906,-16.09375015522042,5139800.0,1727100.0,33.6024748044671
5,2010-07-07,16.399999618530273,16.6299991607666,14.979999542236328,15.800000190734863,15.800000190734863,6921700,,,,16.110000610351562,-0.3100004196166992,-1.9242731711475392,6866900.0,54800.0,0.798031134864341
6,2010-07-08,16.139999389648438,17.520000457763672,15.56999969482422,17.459999084472656,17.459999084472656,7711400,,,,15.800000190734863,1.659998893737793,10.50632198543402,6921700.0,789700.0,11.409046910441067
7,2010-07-09,17.579999923706055,17.899999618530273,16.549999237060547,17.399999618530273,17.399999618530273,4050600,,,,17.459999084472656,-0.05999946594238281,-0.3436395709535911,7711400.0,-3660800.0,-47.47257307363125
8,2010-07-12,17.950000762939453,18.06999969482422,17.0,17.049999237060547,17.049999237060547,2202500,,,,17.399999618530273,-0.35000038146972656,-2.011496489327458,4050600.0,-1848100.0,-45.62533945588307
9,2010-07-13,17.389999389648438,18.63999938964844,16.899999618530273,18.13999938964844,18.13999938964844,2680100,,,,17.049999237060547,1.0900001525878942,6.392963057843581,2202500.0,477600.0,21.684449489216796
10,2010-07-14,17.940000534057617,20.149999618530277,17.760000228881836,19.84000015258789,19.84000015258789,4195200,,,,18.13999938964844,1.7000007629394496,9.371559096686365,2680100.0,1515100.0,56.531472706242305
11,2010-07-15,19.940000534057617,21.5,19.0,19.88999938964844,19.88999938964844,3739800,,,,19.84000015258789,0.04999923706055043,0.2520122816331183,4195200.0,-455400.0,-10.855263157894735
12,2010-07-16,20.700000762939453,21.299999237060547,20.049999237060547,20.63999938964844,20.63999938964844,2621300,,,,19.88999938964844,0.75,3.77073918056694,3739800.0,-1118500.0,-29.908016471469068
13,2010-07-19,21.3700008392334,22.25,20.920000076293945,21.90999984741211,21.90999984741211,2486500,,,,20.63999938964844,1.2700004577636683,6.153103174996266,2621300.0,-134800.0,-5.142486552473969
14,2010-07-20,21.850000381469727,21.850000381469727,20.049999237060547,20.299999237060547,20.299999237060547,1825300,,,,21.90999984741211,-1.6100006103515625,-7.348245648398432,2486500.0,-661200.0,-26.59159461089885
15,2010-07-21,20.65999984741211,20.899999618530277,19.5,20.21999931335449,20.21999931335449,1252500,,,,20.299999237060547,-0.07999992370605824,-0.39408830892961877,1825300.0,-572800.0,-31.38114282583685
16,2010-07-22,20.5,21.25,20.3700008392334,21.0,21.0,957800,,,,20.21999931335449,0.7800006866455114,3.8575702924497746,1252500.0,-294700.0,-23.52894211576846
17,2010-07-23,21.190000534057617,21.559999465942383,21.059999465942383,21.290000915527344,21.290000915527344,653600,,,,21.0,0.29000091552734375,1.3809567406064094,957800.0,-304200.0,-31.7602839841303
18,2010-07-26,21.5,21.5,20.299999237060547,20.950000762939453,20.950000762939453,922200,,,,21.290000915527344,-0.3400001525878906,-1.5969945418833675,653600.0,268600.0,41.09547123623012
